Time,R_8it,R_10bit,R_12bit
16:25:25,"16842.109,","16949.420,",16937.246
16:25:26,"17127.662,","16935.229,",16928.389
16:25:27,"17127.662,","16892.742,",16930.156
16:25:29,"16842.109,","16822.232,",16942.562
16:25:30,"16842.109,","16892.742,",16947.877
16:25:31,"17127.662,","16864.496,",16884.187
16:25:32,"17127.662,","16878.611,",16873.607
16:25:33,"16842.109,","16906.891,",16983.391
16:25:34,"16842.109,","16963.627,",16960.301
16:25:35,"16842.109,","16906.891,",16912.457
16:25:36,"16842.109,","16949.420,",16894.781
16:25:37,"16842.109,","16906.891,",16930.156
16:25:39,"16842.109,","16878.611,",16898.32
16:25:40,"16842.109,","16977.846,",16921.309
16:25:41,"16842.109,","16906.891,",16921.309
16:25:42,"16842.109,","16864.496,",16870.08
16:25:43,"16842.109,","16892.742,",16939.02
16:25:44,"16842.109,","16808.176,",16836.623
16:25:45,"16842.109,","16850.393,",16840.141
16:25:46,"16842.109,","16822.232,",16855.982
16:25:47,"16842.109,","16822.232,",16871.844
16:25:49,"16842.109,","16850.393,",16845.42
16:25:50,"16842.109,","16794.133,",16843.66
16:25:51,"16562.498,","16836.307,",16854.223
16:25:52,"16842.109,","16808.176,",16796.229
16:25:53,"16842.109,","16836.307,",16871.844
16:25:54,"16842.109,","16892.742,",16864.787
16:25:55,"16842.109,","16892.742,",16903.621
16:25:56,"17127.662,","16836.307,",16838.381
16:25:58,"16842.109,","16892.742,",16833.105
16:25:59,"16842.109,","16822.232,",16864.787
16:26:00,"16842.109,","16864.496,",16882.424
16:26:01,"16842.109,","16892.742,",16905.389
16:26:02,"16842.109,","16892.742,",16900.082
16:26:03,"16842.109,","16906.891,",16914.23
16:26:04,"16842.109,","16878.611,",16924.848
16:26:05,"16842.109,","16822.232,",16884.187
16:26:06,"16842.109,","16878.611,",16857.744
16:26:08,"16842.109,","16906.891,",16908.924
16:26:09,"16842.109,","16992.084,",16878.898
16:26:10,"16842.109,","16808.176,",16907.156
16:26:11,"16842.109,","16878.611,",16875.371
16:26:12,"16842.109,","16878.611,",16923.078
16:26:13,"16842.109,","16892.742,",16916
16:26:14,"16842.109,","16935.229,",16914.23
16:26:15,"16842.109,","16921.051,",16884.187
16:26:16,"16842.109,","16836.307,",16912.457
16:26:18,"16842.109,","16949.420,",16887.723
16:26:19,"16842.109,","16864.496,",16912.457
16:26:20,"16842.109,","16864.496,",16946.109
16:26:21,"16842.109,","16949.420,",16942.562
16:26:22,"16842.109,","16935.229,",16912.457
16:26:23,"16842.109,","17006.336,",16847.174
16:26:24,"16842.109,","16850.393,",16908.924
16:26:25,"16842.109,","16864.496,",16898.32
16:26:26,"16842.109,","16921.051,",16880.664
16:26:28,"16842.109,","16935.229,",16912.457
16:26:29,"16842.109,","16892.742,",16969.18
16:26:30,"16842.109,","16892.742,",16921.309
16:26:31,"16842.109,","16836.307,",16903.621
16:26:32,"16842.109,","16864.496,",16822.561
16:26:33,"16842.109,","16836.307,",16854.223
16:26:34,"16842.109,","16921.051,",16919.539
16:26:35,"16842.109,","16850.393,",16733.254
16:26:37,"16288.659,","16906.891,",16877.129
16:26:38,"16842.109,","17034.883,",16893.021
16:26:39,"16842.109,","16864.496,",16738.488
16:26:40,"16842.109,","16878.611,",16882.424
16:26:41,"16842.109,","16850.393,",16930.156
16:26:42,"16842.109,","16864.496,",16877.129
16:26:43,"16288.659,","16850.393,",16880.664
16:26:44,"16842.109,","16808.176,",16827.832
16:26:45,"16842.109,","16864.496,",16861.268
16:26:47,"16842.109,","16864.496,",16887.723
16:26:48,"16842.109,","16906.891,",16750.717
16:26:49,"16842.109,","16892.742,",16898.32
16:26:50,"16842.109,","16822.232,",16933.703
16:26:51,"16562.498,","16836.307,",16917.764
16:26:52,"16842.109,","16822.232,",16887.723
16:26:53,"17127.662,","16892.742,",16838.381
16:26:54,"16842.109,","16878.611,",16817.291
16:26:55,"16842.109,","16892.742,",16787.469
16:26:57,"16842.109,","16612.902,",16836.623
16:26:58,"16842.109,","16710.182,",16824.312
16:26:59,"16842.109,","16864.496,",16792.727
16:27:00,"16842.109,","16921.051,",16838.381
16:27:01,"16842.109,","16696.242,",16854.223
16:27:02,"17127.662,","16822.232,",16871.844
16:27:03,"16842.109,","16836.307,",16836.623
16:27:04,"16842.109,","16836.307,",16773.453
16:27:06,"16842.109,","16710.182,",16829.584
16:27:07,"16842.109,","16766.090,",16812.018
16:27:08,"16842.109,","16836.307,",16775.209
16:27:09,"16842.109,","16766.090,",16771.703
16:27:10,"16842.109,","16766.090,",16794.475
16:27:11,"16842.109,","16738.107,",16831.344
16:27:12,"16562.498,","16822.232,",16783.965
16:27:13,"16842.109,","16752.092,",16801.494
16:27:14,"16842.109,","16766.090,",16794.475
16:27:16,"16842.109,","16752.092,",16789.215
16:27:17,"16842.109,","16766.090,",16801.494
16:27:18,"16562.498,","16808.176,",16754.211
16:27:19,"16842.109,","16808.176,",16794.475
16:27:20,"17127.662,","16710.182,",16750.717
16:27:21,"16562.498,","16780.104,",16728.023
16:27:22,"17419.355,","16710.182,",16812.018
16:27:23,"16562.498,","16808.176,",16761.205
16:27:24,"16288.659,","16766.090,",16712.332
16:27:26,"16562.498,","16752.092,",16759.457
16:27:27,"16562.498,","16850.393,",16759.457
16:27:28,"16562.498,","16808.176,",16764.709
16:27:29,"16842.109,","16752.092,",16714.074
16:27:30,"16842.109,","16557.631,",16728.023
